Year,"expenditure, percent of GDP (% of GDP)",GDP per capita,poverty indicator,Corporate Tax ,Personal Income Tax@ ,Other Direct Taxes ,Total ,Gini Index
1995,24.5493851348,374,56.29576907819137,96029.240234375,-37270.84454345703,13353.104545593262,72112.03002929688,42.9
1996,23.94404158394,400,56.14260312542319,67205.81726074219,-22719.518310546875,10164.0103225708,54650.70233154297,43.0
1997,24.796372993614,415,55.95612327987328,46648.68981933594,-9847.150085449219,7460.424530029297,44262.242431640625,43.3
1998,25.585717758586,413,55.73908927524462,33815.416748046875,1671.15234375,5209.469467163086,40696.22277832031,43.4
1999,25.404228382832,441,55.49426084244624,28163.55810546875,12160.281616210938,3378.2673110961914,43702.21594238281,43.6
2000,25.63605208362,442,55.29477,35696.0,31764.0,845.0,68305.0,43.7
2001,27.788379080264,450,54.945665,36609.0,32004.0,585.0,69198.0,44.4
2002,28.613299001782,469,54.59656,46172.0,36866.0,50.0,83088.0,45.1
2003,29.425738081432,544,54.24745,63562.0,41386.0,140.0,105088.0,45.9
2004,27.959200094281,624,53.89834,82680.0,49268.0,823.0,132771.0,46.7
2005,26.430717724196,711,53.5492349999999,101277.0,63689.0,250.0,165216.0,45.6
2006,26.65855379958,802,53.20013,144318.0,85623.0,240.0,230181.0,45.0
2007,26.46690463623,1023,52.851025,193561.0,120429.0,340.0,314330.0,44.8
2008,28.690039360149,994,52.50192,213395.0,120034.0,389.0,333818.0,44.9
2009,28.052056012585,1097,52.15281,244725.0,132833.0,505.0,378063.0,45.3
2010,27.447291537129,1351,51.8037,298688.0,146258.0,1049.0,445995.0,46.2
2011,27.640581685902,1450,51.454595,322816.0,170181.0,990.0,493987.0,47.2
2012,27.363855024281,1434,51.10549,356326.0,201840.0,823.0,558989.0,45.4
2013,26.599948101753,1438,50.756385,394678.0,242888.0,1030.0,638596.0,44.0
2014,26.220442077132,1560,50.40728,428925.0,265772.0,1095.0,695792.0,42.9
2015,27.058974489303,1590,50.05817,453228.0,287637.0,1079.0,741945.0,42.5
2016,27.232843544593,1714,49.70906,484924.0,349503.0,15286.0,849713.0,42.0
2017,26.231662594119,1958,49.359955,571202.0,420084.0,11452.0,1002738.0,41.6
2018,26.327665031804,1974,49.01085,663572.0,473179.0,967.0,1137718.0,41.4
2019,27.422790685859,2047,49.01085,556876.0,492717.0,1088.0,1050681.0,41.1
2020,31.052287779499,1910,49.01085,457719.0,487560.0,1897.0,947176.0,40.9
2021,30.136706393197,2257,48.661742602009326,712037.0,696604.0,3781.0,1412422.0,39.12969900108874
